"Subjects","Valence","Noise","Neighbourhood","Socioeconomic","Sex"
4,"Negative",0.01704285117,"Cumm","Middle","Female"
5,"Negative",0.02242940575,"Cumm","Middle","Male"
5,"Positive",0.004426733389,"Cumm","Middle","Male"
5,"Negative",0.006113348507,"Cumm","Middle","Male"
5,"Positive",0.003870965504,"Cumm","Middle","Male"
5,"Negative",0.01301386868,"Cumm","Middle","Male"
5,"Negative",0.01108675024,"Cumm","Middle","Male"
5,"Positive",0.02095612088,"Cumm","Middle","Male"
5,"Positive",0.0083440005,"Cumm","Middle","Male"
5,"Negative",0.003422747613,"Cumm","Middle","Male"
5,"Negative",0.001921923941,"Cumm","Middle","Male"
5,"Negative",0.009473973658,"Cumm","Middle","Male"
5,"Positive",0.01037142853,"Cumm","Middle","Male"
5,"Negative",0.00250865756,"Cumm","Middle","Male"
5,"Negative",0.001346303635,"Cumm","Middle","Male"
5,"Negative",0.03590548907,"Cumm","Middle","Male"
5,"Negative",0.006575614471,"Cumm","Middle","Male"
5,"Positive",0.005310520752,"Cumm","Middle","Male"
5,"Positive",0.003089722003,"Cumm","Middle","Male"
5,"Negative",0.01207878188,"Cumm","Middle","Male"
5,"Negative",0.01374834527,"Cumm","Middle","Male"
5,"Negative",0.04893161544,"Cumm","Middle","Male"
5,"Negative",0.02107593302,"Cumm","Middle","Male"
5,"Negative",0.02101753127,"Cumm","Middle","Male"
5,"Positive",0.008194700283,"Cumm","Middle","Male"
5,"Positive",0.009979549292,"Cumm","Middle","Male"
5,"Positive",0.003136087602,"Cumm","Middle","Male"
5,"Positive",0.009988191252,"Cumm","Middle","Male"
5,"Negative",0.0138976911,"Cumm","Middle","Male"
5,"Positive",0.01095335143,"Cumm","Middle","Male"
5,"Positive",0.008454851289,"Cumm","Middle","Male"
5,"Positive",0.008045523661,"Cumm","Middle","Male"
5,"Positive",0.02023913453,"Cumm","Middle","Male"
5,"Positive",0.006001824716,"Cumm","Middle","Male"
5,"Negative",0.003940554485,"Cumm","Middle","Male"
5,"Positive",0.01094678387,"Cumm","Middle","Male"
5,"Positive",0.0104824837,"Cumm","Middle","Male"
5,"Negative",0.02624050017,"Cumm","Middle","Male"
5,"Positive",0.01595245116,"Cumm","Middle","Male"
5,"Negative",0.01770264416,"Cumm","Middle","Male"
5,"Negative",0.0104180609,"Cumm","Middle","Male"
5,"Negative",0.01983751635,"Cumm","Middle","Male"
5,"Positive",0.01766211068,"Cumm","Middle","Male"
5,"Negative",0.0115359438,"Cumm","Middle","Male"
5,"Positive",0.01227623509,"Cumm","Middle","Male"
5,"Positive",0.01987499291,"Cumm","Middle","Male"
5,"Positive",0.0041252951,"Cumm","Middle","Male"
6,"Negative",0.01844695305,"Cumm","Middle","Female"
6,"Positive",0.01463473153,"Cumm","Middle","Female"
6,"Positive",0.01323679938,"Cumm","Middle","Female"
6,"Positive",0.004249484085,"Cumm","Middle","Female"
6,"Positive",0.01485825288,"Cumm","Middle","Female"
6,"Negative",0.0127162445,"Cumm","Middle","Female"
6,"Positive",0.003592562864,"Cumm","Middle","Female"
6,"Positive",0.01792577987,"Cumm","Middle","Female"
6,"Positive",0.001712763845,"Cumm","Middle","Female"
6,"Positive",0.01187780701,"Cumm","Middle","Female"
6,"Positive",0.006811304825,"Cumm","Middle","Female"
6,"Positive",0.007540553511,"Cumm","Middle","Female"
6,"Positive",0.008321655246,"Cumm","Middle","Female"
6,"Positive",0.01087670141,"Cumm","Middle","Female"
6,"Negative",0.007272543563,"Cumm","Middle","Female"
6,"Positive",0.01280730598,"Cumm","Middle","Female"
6,"Positive",0.002622366747,"Cumm","Middle","Female"
6,"Positive",0.006705166618,"Cumm","Middle","Female"
6,"Negative",0.005271422762,"Cumm","Middle","Female"
6,"Negative",0.01294013569,"Cumm","Middle","Female"
6,"Positive",0.003681672395,"Cumm","Middle","Female"
6,"Positive",0.008382439511,"Cumm","Middle","Female"
6,"Negative",0.009477557984,"Cumm","Middle","Female"
6,"Positive",0.001597139111,"Cumm","Middle","Female"
6,"Positive",0.003123561966,"Cumm","Middle","Female"
6,"Positive",0.009014674728,"Cumm","Middle","Female"
6,"Positive",0.01203749921,"Cumm","Middle","Female"
6,"Positive",0.001993924523,"Cumm","Middle","Female"
6,"Positive",0.0118183784,"Cumm","Middle","Female"
6,"Positive",0.01767850963,"Cumm","Middle","Female"
6,"Negative",0.03056808496,"Cumm","Middle","Female"
6,"Negative",0.02464923472,"Cumm","Middle","Female"
6,"Negative",0.0079788336,"Cumm","Middle","Female"
6,"Negative",0.03071463387,"Cumm","Middle","Female"
6,"Positive",0.02763954236,"Cumm","Middle","Female"
6,"Positive",0.003346592445,"Cumm","Middle","Female"
7,"Negative",0.02030508926,"StaAna","Middle","Male"
7,"Negative",0.02228809996,"StaAna","Middle","Male"
7,"Positive",0.02435874158,"StaAna","Middle","Male"
7,"Negative",0.02143110103,"StaAna","Middle","Male"
7,"Negative",0.01812951235,"StaAna","Middle","Male"
7,"Positive",0.00380223062,"StaAna","Middle","Male"
7,"Negative",0.01559360243,"StaAna","Middle","Male"
7,"Negative",0.009659871491,"StaAna","Middle","Male"
7,"Positive",0.02920050344,"StaAna","Middle","Male"
7,"Negative",0.02558408462,"StaAna","Middle","Male"
7,"Negative",0.02417893698,"StaAna","Middle","Male"
