Subjects,Valence_num,Valence,Noise,Pedestrians,Cars,Pupil,Neighbourhood_num,Neighbourhood,Socioeconomic_num,Socioeconomic,Sex_num
3,0,Negative,0.0218272436,0.0412371134,1.463917526,2.094198299,1,Cumm,1,Middle,1
3,0,Negative,0.006928872918,0,1.742268041,[],1,Cumm,1,Middle,1
3,0,Negative,0.01423335012,0.09278350515,0.3608247423,[],1,Cumm,1,Middle,1
3,0,Negative,0.009718499971,0.2680412371,0.9072164948,[],1,Cumm,1,Middle,1
3,1,Positive,0.00385125194,1.762886598,0.3711340206,[],1,Cumm,1,Middle,1
3,0,Negative,0.016954829,0.9693877551,0.02040816327,2.024067934,1,Cumm,1,Middle,1
4,0,Negative,0.009964957376,0,0,2.650240966,1,Cumm,1,Middle,1
4,1,Positive,0.007002050911,0,0.5154639175,2.987654511,1,Cumm,1,Middle,1
4,1,Positive,0.02519625052,0.2577319588,0,3.190038214,1,Cumm,1,Middle,1
4,1,Positive,0.03519021763,0.9690721649,0,3.012901973,1,Cumm,1,Middle,1
4,1,Positive,0.003627908055,0.8865979381,0,2.856908887,1,Cumm,1,Middle,1
4,0,Negative,0.008051821451,0.5670103093,0,2.970217766,1,Cumm,1,Middle,1
4,1,Positive,0.01678280009,0.0412371134,0.0412371134,2.040597801,1,Cumm,1,Middle,1
4,1,Positive,0.01544045737,1.082474227,0.0206185567,2.530261736,1,Cumm,1,Middle,1
4,1,Positive,0.01098380601,0.8556701031,0,2.856148657,1,Cumm,1,Middle,1
4,1,Positive,0.01526340438,0.4432989691,0.01030927835,2.804282404,1,Cumm,1,Middle,1
4,1,Positive,0.01294165139,0,0,3.316576724,1,Cumm,1,Middle,1
4,0,Negative,0.01350441058,0,0.01030927835,2.935989518,1,Cumm,1,Middle,1
4,1,Positive,0.04087819432,0.3917525773,0.03092783505,2.509195604,1,Cumm,1,Middle,1
4,0,Negative,0.0116620868,1.690721649,0,3.048170265,1,Cumm,1,Middle,1
4,0,Negative,0.01728545054,0.1546391753,0,2.747027237,1,Cumm,1,Middle,1
4,1,Positive,0.02209804477,0.6804123711,0,3.191180344,1,Cumm,1,Middle,1
4,1,Positive,0.01286176271,1.917525773,0,2.884159304,1,Cumm,1,Middle,1
4,1,Positive,0.02297818495,1.237113402,0,2.877441827,1,Cumm,1,Middle,1
4,1,Positive,0.003260291895,1.639175258,0,3.018378736,1,Cumm,1,Middle,1
4,1,Positive,0.007910490396,0,0.03092783505,2.84919842,1,Cumm,1,Middle,1
4,0,Negative,0.02187429825,0,0.07216494845,2.716443008,1,Cumm,1,Middle,1
4,1,Positive,0.02396195578,0,0.1855670103,2.267978768,1,Cumm,1,Middle,1
4,1,Positive,0.01413343065,0.9175257732,0.01030927835,2.419369041,1,Cumm,1,Middle,1
4,0,Negative,0.01105206954,0.6391752577,0.2680412371,[],1,Cumm,1,Middle,1
4,1,Positive,0.007585290077,0.7010309278,0.3092783505,2.321008633,1,Cumm,1,Middle,1
4,1,Positive,0.0176250051,0.6597938144,0.824742268,2.458704245,1,Cumm,1,Middle,1
4,1,Positive,0.0178437363,0.01030927835,0,2.136219032,1,Cumm,1,Middle,1
4,1,Positive,0.01063813066,0.7422680412,0,2.207179458,1,Cumm,1,Middle,1
4,0,Negative,0.02713524904,0.9175257732,0.1443298969,2.791412052,1,Cumm,1,Middle,1
4,0,Negative,0.03340384693,0,0.3402061856,[],1,Cumm,1,Middle,1
4,1,Positive,0.02849609732,0,0,2.563154275,1,Cumm,1,Middle,1
4,0,Negative,0.03913888482,0,1.041237113,2.601155048,1,Cumm,1,Middle,1
4,1,Positive,0.01733550948,0,0,2.25866376,1,Cumm,1,Middle,1
4,0,Negative,0.02391713227,1.824742268,0.7113402062,2.824914377,1,Cumm,1,Middle,1
4,1,Positive,0.03896900811,0.1340206186,0.5257731959,2.637473823,1,Cumm,1,Middle,1
4,1,Positive,0.03057523426,0.2783505155,0.8350515464,2.455120426,1,Cumm,1,Middle,1
4,0,Negative,0.01704285117,1,1.510204082,2.593570698,1,Cumm,1,Middle,1
5,0,Negative,0.02242940575,0.1855670103,0.587628866,2.426295994,1,Cumm,1,Middle,0
5,1,Positive,0.004426733389,0,0.0618556701,2.690081058,1,Cumm,1,Middle,0
5,0,Negative,0.006113348507,0,0,2.674958269,1,Cumm,1,Middle,0
5,1,Positive,0.003870965504,0.1649484536,0.9793814433,2.79064457,1,Cumm,1,Middle,0
5,0,Negative,0.01301386868,0.587628866,0,3.033308845,1,Cumm,1,Middle,0
5,0,Negative,0.01108675024,0,0,2.184167941,1,Cumm,1,Middle,0
5,1,Positive,0.02095612088,0.7525773196,0,2.554654573,1,Cumm,1,Middle,0
5,1,Positive,0.0083440005,1.505154639,0,2.975841004,1,Cumm,1,Middle,0
5,0,Negative,0.003422747613,0.09278350515,0.0618556701,2.611719148,1,Cumm,1,Middle,0
5,0,Negative,0.001921923941,0.8865979381,0.1237113402,2.641163243,1,Cumm,1,Middle,0
5,0,Negative,0.009473973658,0,1.546391753,1.927564996,1,Cumm,1,Middle,0
5,1,Positive,0.01037142853,0,0.4226804124,1.949428461,1,Cumm,1,Middle,0
5,0,Negative,0.00250865756,0,0.1958762887,2.202398083,1,Cumm,1,Middle,0
5,0,Negative,0.001346303635,1.020618557,0.0412371134,2.3706951,1,Cumm,1,Middle,0
5,0,Negative,0.03590548907,2.24742268,0.01030927835,2.660816376,1,Cumm,1,Middle,0
5,0,Negative,0.006575614471,0.4329896907,0.1958762887,2.947962233,1,Cumm,1,Middle,0
5,1,Positive,0.005310520752,0,0,2.318398082,1,Cumm,1,Middle,0
5,1,Positive,0.003089722003,1.412371134,0,2.71481334,1,Cumm,1,Middle,0
5,0,Negative,0.01207878188,1.474226804,0,2.677003723,1,Cumm,1,Middle,0
5,0,Negative,0.01374834527,1.164948454,0,2.795470454,1,Cumm,1,Middle,0
5,0,Negative,0.04893161544,0.03092783505,0.2886597938,3.101319946,1,Cumm,1,Middle,0
5,0,Negative,0.02107593302,0,0.01030927835,2.777182841,1,Cumm,1,Middle,0
5,0,Negative,0.02101753127,0.03092783505,0,2.134554611,1,Cumm,1,Middle,0
5,1,Positive,0.008194700283,0,0,2.23608327,1,Cumm,1,Middle,0
5,1,Positive,0.009979549292,0,0,2.179753729,1,Cumm,1,Middle,0
5,1,Positive,0.003136087602,0,0,2.036352002,1,Cumm,1,Middle,0
5,1,Positive,0.009988191252,0.5463917526,0,1.967102834,1,Cumm,1,Middle,0
5,0,Negative,0.0138976911,0.01030927835,0,[],1,Cumm,1,Middle,0
5,1,Positive,0.01095335143,0,0,2.264937188,1,Cumm,1,Middle,0
5,1,Positive,0.008454851289,0,0,[],1,Cumm,1,Middle,0
5,1,Positive,0.008045523661,0,0,2.057403672,1,Cumm,1,Middle,0
5,1,Positive,0.02023913453,0,0.1958762887,1.920089237,1,Cumm,1,Middle,0
5,1,Positive,0.006001824716,0.0206185567,0.2164948454,2.309657419,1,Cumm,1,Middle,0
5,0,Negative,0.003940554485,0,0.3195876289,2.040769231,1,Cumm,1,Middle,0
5,1,Positive,0.01094678387,0.0412371134,0.1237113402,2.35870417,1,Cumm,1,Middle,0
5,1,Positive,0.0104824837,0,0,2.055882942,1,Cumm,1,Middle,0
5,0,Negative,0.02624050017,0.03092783505,0,2.152585383,1,Cumm,1,Middle,0
5,1,Positive,0.01595245116,0,0,2.175976989,1,Cumm,1,Middle,0
5,0,Negative,0.01770264416,0,0.1443298969,2.185911561,1,Cumm,1,Middle,0
5,0,Negative,0.0104180609,0.1443298969,1.958762887,2.207978342,1,Cumm,1,Middle,0
5,0,Negative,0.01983751635,0,1.18556701,2.272094885,1,Cumm,1,Middle,0
5,1,Positive,0.01766211068,0,0.8865979381,2.329970974,1,Cumm,1,Middle,0
5,0,Negative,0.0115359438,0,0,2.485033141,1,Cumm,1,Middle,0
5,1,Positive,0.01227623509,0,0.7628865979,2.211126349,1,Cumm,1,Middle,0
5,1,Positive,0.01987499291,0.0412371134,0.5360824742,2.34727632,1,Cumm,1,Middle,0
5,1,Positive,0.0041252951,0,0.01020408163,1.93,1,Cumm,1,Middle,0
6,0,Negative,0.01844695305,0,0,2.695344551,1,Cumm,1,Middle,1
6,1,Positive,0.01463473153,0.9587628866,0,2.663323735,1,Cumm,1,Middle,1
6,1,Positive,0.01323679938,1.742268041,0,2.720474405,1,Cumm,1,Middle,1
6,1,Positive,0.004249484085,1,0.5360824742,2.731631939,1,Cumm,1,Middle,1
6,1,Positive,0.01485825288,0.7216494845,0,2.636639891,1,Cumm,1,Middle,1
6,0,Negative,0.0127162445,1.082474227,0.9278350515,2.557257071,1,Cumm,1,Middle,1
6,1,Positive,0.003592562864,0.0618556701,0.6701030928,[],1,Cumm,1,Middle,1
6,1,Positive,0.01792577987,1.711340206,0.2886597938,2.520429237,1,Cumm,1,Middle,1
6,1,Positive,0.001712763845,0.9690721649,0,2.923405965,1,Cumm,1,Middle,1
6,1,Positive,0.01187780701,0.381443299,0,2.847109387,1,Cumm,1,Middle,1
6,1,Positive,0.006811304825,0.3711340206,0.175257732,2.631613024,1,Cumm,1,Middle,1
6,1,Positive,0.007540553511,1.309278351,0,2.954975594,1,Cumm,1,Middle,1
6,1,Positive,0.008321655246,0.5670103093,0,2.72059086,1,Cumm,1,Middle,1
6,1,Positive,0.01087670141,0.1855670103,0.01030927835,2.481692433,1,Cumm,1,Middle,1
6,0,Negative,0.007272543563,0.9175257732,0,2.435759952,1,Cumm,1,Middle,1
6,1,Positive,0.01280730598,0.9690721649,0.0206185567,2.556578795,1,Cumm,1,Middle,1
6,1,Positive,0.002622366747,1.979381443,0,2.442107864,1,Cumm,1,Middle,1
6,1,Positive,0.006705166618,1.597938144,0,2.67228142,1,Cumm,1,Middle,1
6,0,Negative,0.005271422762,1.81443299,0.2886597938,2.463971791,1,Cumm,1,Middle,1
6,0,Negative,0.01294013569,0.3711340206,0,2.444792131,1,Cumm,1,Middle,1
6,1,Positive,0.003681672395,1.515463918,0.0206185567,2.2401901,1,Cumm,1,Middle,1
6,1,Positive,0.008382439511,0.3195876289,0.0206185567,2.324368835,1,Cumm,1,Middle,1
6,0,Negative,0.009477557984,0.618556701,0,2.304650277,1,Cumm,1,Middle,1
6,1,Positive,0.001597139111,0,0,2.606559276,1,Cumm,1,Middle,1
6,1,Positive,0.003123561966,0,0,2.650917357,1,Cumm,1,Middle,1
6,1,Positive,0.009014674728,0.9587628866,0,2.423813345,1,Cumm,1,Middle,1
6,1,Positive,0.01203749921,0.1443298969,0,2.434186687,1,Cumm,1,Middle,1
6,1,Positive,0.001993924523,0,0.4432989691,2.410625755,1,Cumm,1,Middle,1
6,1,Positive,0.0118183784,0.1443298969,0,2.322560547,1,Cumm,1,Middle,1
6,1,Positive,0.01767850963,2.24742268,0,2.42880295,1,Cumm,1,Middle,1
6,0,Negative,0.03056808496,0.3092783505,0.9175257732,2.443345666,1,Cumm,1,Middle,1
6,0,Negative,0.02464923472,0.7319587629,1.319587629,2.565053801,1,Cumm,1,Middle,1
6,0,Negative,0.0079788336,0.4020618557,0,2.534527927,1,Cumm,1,Middle,1
6,0,Negative,0.03071463387,1.072164948,0.175257732,2.302202368,1,Cumm,1,Middle,1
6,1,Positive,0.02763954236,0,0.0206185567,2.503418785,1,Cumm,1,Middle,1
6,1,Positive,0.003346592445,0.01020408163,0.02040816327,2.434837143,1,Cumm,1,Middle,1
7,0,Negative,0.02030508926,0,1.479166667,3.000129162,2,StaAna,1,Middle,0
7,0,Negative,0.02228809996,0,0.03092783505,3.105157983,2,StaAna,1,Middle,0
7,1,Positive,0.02435874158,0,0.8865979381,3.078999849,2,StaAna,1,Middle,0
7,0,Negative,0.02143110103,0.0824742268,1.020618557,3.695082801,2,StaAna,1,Middle,0
7,0,Negative,0.01812951235,0.1237113402,0.6494845361,2.392443502,2,StaAna,1,Middle,0
7,1,Positive,0.00380223062,0,0.3092783505,2.816734401,2,StaAna,1,Middle,0
7,0,Negative,0.01559360243,0,1.278350515,2.90492456,2,StaAna,1,Middle,0
7,0,Negative,0.009659871491,0.0206185567,0.9175257732,2.94,2,StaAna,1,Middle,0
7,1,Positive,0.02920050344,0.05154639175,1.06185567,[],2,StaAna,1,Middle,0
7,0,Negative,0.02558408462,0.8969072165,0.1340206186,[],2,StaAna,1,Middle,0
7,0,Negative,0.02417893698,0.4845360825,0.6804123711,2.701680231,2,StaAna,1,Middle,0
7,1,Positive,0.01216529514,0.5567010309,0.4020618557,3.256446982,2,StaAna,1,Middle,0
7,0,Negative,0.03022283022,0.2886597938,0.1546391753,3.390413725,2,StaAna,1,Middle,0
7,0,Negative,0.01459813368,0,0.793814433,2.7,2,StaAna,1,Middle,0
7,0,Negative,0.007922570894,1,3,2.84,2,StaAna,1,Middle,0
7,1,Positive,0.01160548312,1.298969072,0.4639175258,3.171488393,2,StaAna,1,Middle,0
7,0,Negative,0.04225247166,0.2886597938,1.422680412,2.975695245,2,StaAna,1,Middle,0
7,0,Negative,0.005113896134,0.693877551,2.06122449,3.006704611,2,StaAna,1,Middle,0
8,0,Negative,0.03889146369,0,1.06185567,4.95,2,StaAna,1,Middle,1
8,0,Negative,0.04677809643,0,1.144329897,[],2,StaAna,1,Middle,1
8,0,Negative,0.04807567435,0,0.2268041237,2.15,2,StaAna,1,Middle,1
8,0,Negative,0.03347219944,0,2.453608247,[],2,StaAna,1,Middle,1
8,0,Negative,0.0204733397,0.0206185567,2.237113402,4.930573387,2,StaAna,1,Middle,1
8,0,Negative,0.03024450799,0.1030927835,1.175257732,[],2,StaAna,1,Middle,1
8,1,Positive,0.04341956225,0,1.072164948,[],2,StaAna,1,Middle,1
8,0,Negative,0.03992467569,0,1,[],2,StaAna,1,Middle,1
8,1,Positive,0.03563769623,0.2680412371,0.5979381443,[],2,StaAna,1,Middle,1
8,0,Negative,0.03853178906,0.4639175258,0.7113402062,[],2,StaAna,1,Middle,1
8,1,Positive,0.02383167505,0,0.6701030928,[],2,StaAna,1,Middle,1
8,1,Positive,0.02589608469,0.2989690722,0.0206185567,4.7,2,StaAna,1,Middle,1
8,0,Negative,0.05297187562,0.1237113402,0,5.400935456,2,StaAna,1,Middle,1
